	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
844	7564468	0.0	0.0	0.0	0.0	0.0	0.0
845	7564563						
846	7564727						
847	7564750						
848	7565110						
849	7565118						
850	7565583						
851	7565696						
852	7565697						
853	7565727						
854	7565737						
855	7565757						
856	7565779						
857	7565789	0.4852	0.5111	0.5111	0.5111	0.5663	0.6156
858	7566000	0.9026	0.772	0.7641	0.7019	0.7147	0.7268
859	7566553						
860	7566960	0.1003	0.0863	0.1117	0.093	0.0805	0.0757
861	7567017						
862	7567144						
863	7567153						
864	7567389						
865	7567962						
866	7568002						
867	7568028						
868	7568029						
869	7568064						
870	7568068						
871	7568143	0.0	0.0784	0.0608	0.0506	0.0476	0.0476
872	7568158						
873	7568165	0.36	0.3783	0.2932	0.3453	0.2989	0.3229
874	7568214						
875	7569107						
876	7569573						
877	7569574						
878	7569584						
879	7569773						
880	7569998						
881	7570600						
882	7570619						
883	7570621						
884	7570713						
885	7571029						
886	7571223						
887	7571659						
888	7571957						
889	7571988	0.8539	0.7624	0.7246	0.7038	0.6641	0.6238
890	7572160						
891	7572349						
892	7572543						
893	7572616						
894	7573058						
895	7573066						
896	7573356						
897	7573363						
898	7573482						
899	7573587						
900	7573794						
901	7573799						
902	7573950						
903	7574061						
904	7574459						
905	7574468	1.0	1.0	1.0	0.9777	0.9807	0.8999
906	7574504						
907	7574592						
908	7574723						
909	7574727						
910	7574796						
911	7574991						
912	7575408						
913	7575496	0.4273	0.3654	0.3576	0.3312	0.2867	0.2979
914	7575551						
915	7575611						
916	7575682						
917	7575689						
918	7575994						
919	7576102	0.5087	0.3938	0.3513	0.2925	0.2801	0.2072
920	7576301	0.8688	0.9149	0.8029	0.8359	0.8135	0.7159
921	7576454						
922	7576661						
923	7576693						
924	7576968	0.8688	0.9148	0.8453	0.8712	0.8616	0.8109
925	7576992						
926	7576999	1.0	0.8412	0.8342	0.8272	0.8236	0.775
927	7577076						
928	7577491						
929	7577679						
930	7577761						
931	7577941						
932	7577970						
933	7578274						
934	7578394						
935	7578942						
936	7579129						
937	7579137	0.6608	0.6151	0.6273	0.6573	0.6587	0.6822
938	7579522						
939	7579523	0.6548	0.639	0.6726	0.6933	0.6797	0.6809
940	7579581						
941	7579788						
942	7580140	0.6843	0.7315	0.7471	0.7571	0.7897	0.7205
943	7580197						
944	7580313						
945	7580317						
946	7580356						
947	7580538						
948	7580631						
949	7580892						
950	7580930	1.0	0.9306	0.9001	0.8504	0.7723	0.8586
951	7581375						
952	7581381						
953	7581478						
954	7581494						
955	7581682						
956	7581697						
