	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
1181	7627950	0.9026	0.8732	0.8387	0.8835	0.9109	0.9109
1182	7627958						
1183	7627974						
1184	7628015						
1185	7628240						
1186	7628438						
1187	7628519						
1188	7628558						
1189	7628607						
1190	7628693						
1191	7628698	0.5087	0.4819	0.4623	0.5183	0.5021	0.5645
1192	7629109						
1193	7629129						
1194	7629154						
1195	7629432						
1196	7629469						
1197	7629515						
1198	7629644						
1199	7630011						
1200	7630420						
1201	7630422						
1202	7630600						
1203	7630630						
1204	7630633						
1205	7630638						
1206	7630736	0.8304	0.7261	0.6229	0.6422	0.6542	0.6175
1207	7631094						
1208	7631423						
1209	7631805						
1210	7632062						
1211	7632400						
1212	7632875						
1213	7633396						
1214	7633410						
1215	7633466						
1216	7633753						
1217	7634401						
1218	7634463						
1219	7634645						
1220	7634980						
1221	7635045	0.4504	0.5187	0.5394	0.6165	0.597	0.4926
1222	7635354						
1223	7635477						
1224	7635515						
1225	7635725						
1226	7635919						
1227	7635964						
1228	7635975						
1229	7636760						
1230	7636924						
1231	7637007						
1232	7637028						
1233	7637343						
1234	7637446						
1235	7637581						
1236	7637692						
1237	7637783						
1238	7637960						
1239	7638555						
1240	7638622						
1241	7638623						
1242	7638756						
1243	7639139						
1244	7639323	1.0	0.9337	0.906	0.8889	0.8776	0.8942
1245	7639764						
1246	7639964						
1247	7640148						
1248	7640212						
1249	7640286						
1250	7640344						
1251	7640419						
1252	7641184						
1253	7641418						
1254	7641811						
1255	7641892						
1256	7641893						
1257	7642087						
1258	7642212						
1259	7642258						
1260	7642518						
1261	7642566						
1262	7642624						
1263	7642641						
1264	7642724						
1265	7642754						
1266	7643084						
1267	7643102						
1268	7643126						
1269	7643225						
1270	7643396						
1271	7644016						
1272	7644022	0.5594	0.5945	0.6408	0.6686	0.6869	0.701
1273	7644054						
1274	7644144						
1275	7644469						
1276	7644489						
1277	7644500	0.0	0.0734	0.0569	0.0473	0.0678	0.0721
1278	7644530						
1279	7645299						
1280	7645329						
1281	7645440						
1282	7645991						
1283	7646012						
1284	7646043	0.2773	0.3329	0.3444	0.4219	0.4267	0.7239
1285	7646056						
1286	7646434						
1287	7646448						
1288	7646561						
1289	7646655	0.4469	0.4578	0.4754	0.4743	0.4645	0.4686
1290	7646898						
1291	7647039						
1292	7647400						
1293	7647686						
1294	7647777						
1295	7647841						
1296	7647944						
